"locale","en_US","it_IT","ru_RU","pt_BR","zh_CN","pl_PL","fr_FR","es_ES","en_GB","de_DE"
"An input delay of {delay}ms is set.","An input delay of {delay}ms is set.","È impostato un ritardo di input di {delay}ms.","Установлена задержка ввода, равная {delay}мс.","Um atraso de input de {delay}ms for configurado.","已设置 {delay}ms 的输入延迟","Ustawiono opóźnienie wejścia wynoszące {delay} ms.","Un délai d'entrée de {delay} ms est défini.","Se ha establecido un retraso de entrada de {delay} ms.","An input delay of {delay}ms is set.","Eine Eingabeverzögerung von {delay} ms ist eingestellt."
"Offense","Offense","Attacco","Неистовство","Ataque","进攻","Ofensywa","Attaque","Ofensiva","Offense","Offensive"
"Defense","Defense","Difesa","Храбрость","Defesa","防守","Obrona","Défense","Defensa","Defense","Verteidigung"
"Utility","Utility","Supporto","Хитрость","Utilidade","工具","Użytkowość","Utilité","Utilidad","Utility","Nutzen"
"Bot","Bot","Bot","Бот","Bot","机器人","Bot","Bot","Bot","Bot","Bot"
"An error occurred while unhandling the protocol: %e","An error occurred while unhandling the protocol: %e","Si è verificato un errore durante la gestione del protocollo: %e","Произошла ошибка при отключении протокола: %e","Um erro ocorreu enquanto","处理协议时发生错误：%e","Wystąpił błąd podczas obsługi protokołu: %e","Une erreur s'est produite lors de la gestion du protocole : %e","Se produjo un error al manejar el protocolo: %e","An error occurred while unhandling the protocol: %e","Beim Behandeln des Protokolls ist ein Fehler aufgetreten: %e"
"New Page","New Page","Nuova Pagina","Новая страница","Nova página","新页面","Nowa strona","Nouvelle page","Nueva página","New Page","Neue Seite"
"{name} joined the lobby","{name} joined the lobby","{name} si è unito alla lobby","{name} присоединился к лобби","{name} se entrou no saguão","{name} 加入了游乐厅","{name} dołączył do poczekalni","{name} a rejoint le hall","{name} se unió al vestíbulo","{name} joined the lobby","{name} hat die Lobby betreten"
"web + torrents + mega.nz","web + torrents + mega.nz","web + torrents + mega.nz","веб-сервера + торрентов + mega.nz","web + torrents + mega.nz","网页 + 种子 + mega.nz","sieć + torrenty + mega.nz","web + torrents + mega.nz","web + torrents + mega.nz","web + torrents + mega.nz","Web + Torrents + mega.nz"
"web + torrents","web + torrents","web + torrents","веб-сервера + торрентов","web + torrents","网页 + 种子","sieć + torrenty","web + torrents","web + torrents","web + torrents","Web + Torrents"
"web + mega.nz","web + mega.nz","web + mega.nz","веб-сервера + mega.nz","web + mega.nz","网页 + mega.nz","sieć + mega.nz","web + mega.nz","web + mega.nz","web + mega.nz","Web + mega.nz"
"web","web","web","веб-сервера","web","网页","sieć","web","web","web","Web"
"Player","Player","Giocatore","Игрок","Jogador","玩家","Gracz","Joueur","Jugador","Player","Spieler"
"New player joined","New player joined","Nuovo giocatore si è unito","Присоединился новый игрок","Novo jogardor se juntou","新玩家加入","Dołączył nowy gracz","Nouveau joueur rejoint","Nuevo jugador se unió","New player joined","Neuer Spieler beigetreten"
"Download files from mega.nz","Download files from mega.nz","Scarica file da mega.nz","Скачивать файлы с mega.nz","Baixar arquivos via mega.nz","从 mega.nz 下载文件","Pobierz pliki z mega.nz","Télécharger les fichiers depuis mega.nz","Descargar archivos desde mega.nz","Download files from mega.nz","Dateien von mega.nz herunterladen"
"Download and Seed files via BitTorrent","Download and Seed files via BitTorrent","Scarica e distribuisci file tramite BitTorrent","Скачивайть и раздавать файлы через BitTorrent","Baixar arquivos e semear via BitTorrent","通过 BitTorrent 下载和分享文件","Pobieraj i udostępniaj pliki przez BitTorrent","Télécharger et partager des fichiers via BitTorrent","Descargar y compartir archivos vía BitTorrent","Download and Seed files via BitTorrent","Dateien über BitTorrent herunterladen und seeden"
"Connect to other players via Internet","Connect to other players via Internet","Connettiti ad altri giocatori tramite Internet","Подключаться к другим игрокам через Интернет","Conectar a outros jogadores via Internet","通过互联网连接其他玩家","Połącz się z innymi graczami przez Internet","Se connecter à d'autres joueurs via Internet","Conectarse a otros jugadores vía Internet","Connect to other players via Internet","Mit anderen Spielern über das Internet verbinden"
"Download game server updates","Download game server updates","Scarica gli aggiornamenti del server di gioco","Скачивать обновления для игрового сервера","Baixar atualizações de servidor","下载游戏服务器更新","Pobierz aktualizacje serwera gry","Télécharger les mises à jour du serveur de jeu","Descargar actualizaciones del servidor de juego","Download game server updates","Spielserver-Updates herunterladen"
"Download launcher updates","Download launcher updates","Scarica gli aggiornamenti del launcher","Скачивать обновления для лаунчера","Baisar atualizaçoes do launcher","下载启动器更新","Pobierz aktualizacje launchera","Télécharger les mises à jour du lanceur","Descargar actualizaciones del lanzador","Download launcher updates","Launcher-Updates herunterladen"
"Set custom UDP port number to use","Set custom UDP port number to use","Imposta il numero di porta UDP personalizzato da utilizzare","Укажите другой номер UDP-порта для использования","Buscar por porta UDP personalizada","设置要使用的自定义 UDP 端口号","Ustaw niestandardowy numer portu UDP","Définir le numéro de port UDP personnalisé à utiliser","Establecer número de puerto UDP personalizado","Set custom UDP port number to use","Benutzerdefinierte UDP-Portnummer festlegen"
"Install the package with additional levels","Install the package with additional levels","Installa il pacchetto con livelli aggiuntivi","Установить пакет с дополнительными уровнями","Instalar pacote com mapas adicionais","安装包含额外关卡的软件包","Zainstaluj pakiet z dodatkowymi poziomami","Installer le paquet avec des niveaux supplémentaires","Instalar el paquete con niveles adicionales","Install the package with additional levels","Paket mit zusätzlichen Levels installieren"
"(Debug) Download+Unpack+Build missing files","(Debug) Download+Unpack+Build missing files","(Debug) Scarica+Estrai+Crea file mancanti","(Отладка) Загрузка+Распаковка+Сборка недостающих файлов","(Debug) Baixar+Descompactar+Buildar+Criar Arquivos ausentes","(调试) 下载+解压+构建缺失文件","(Debug) Pobierz+Rozpakuj+Zbuduj brakujące pliki","(Débogage) Télécharger+Décompresser+Compiler les fichiers manquants","(Depurar) Descargar+Descomprimir+Compilar archivos faltantes","(Debug) Download+Unpack+Build missing files","(Debug) Fehlende Dateien herunterladen+entpacken+erstellen"
"(Debug) Download missing files","(Debug) Download missing files","(Debug) Scarica i file mancanti","(Отладка) Загрузка недостающих файлов","(Debug) Download missing files","(调试) 下载缺失文件","(Debug) Pobierz brakujące pliki","(Débogage) Télécharger les fichiers manquants","(Depurar) Descargar archivos faltantes","(Debug) Download missing files","(Debug) Fehlende Dateien herunterladen"
"(Debug) Unpack missing files","(Debug) Unpack missing files","(Debug) Estrarre i file mancanti","(Отладка) Распаковка недостающих файлов","(Debug) Unpack missing files","(调试) 解压缺失文件","(Debug) Rozpakuj brakujące pliki","(Débogage) Décompresser les fichiers manquants","(Depurar) Descomprimir archivos faltantes","(Debug) Unpack missing files","(Debug) Fehlende Dateien entpacken"
"(Debug) Build missing files","(Debug) Build missing files","(Debug) Compila i file mancanti","(Отладка) Сборка недостающих файлов","(Debug) Build missing files","(调试) 构建缺失文件","(Debug) Zbuduj brakujące pliki","(Débogage) Compiler les fichiers manquants","(Depurar) Compilar archivos faltantes","(Debug) Build missing files","(Debug) Fehlende Dateien erstellen"
"Ask about custom arguments at startup","Ask about custom arguments at startup","Richiedi informazioni sugli argomenti personalizzati all'avvio","Спрашивать об аргументах при запуске","Perguntar sobre argumentos customizados ao inicializar","启动时询问自定义参数","Pytaj o niestandardowe argumenty przy uruchamianiu","Demander les arguments personnalisés au démarrage","Preguntar por argumentos personalizados al iniciar","Ask about custom arguments at startup","Beim Start nach benutzerdefinierten Argumenten fragen"
"(Internal) Use JSON RPC for I/O","(Internal) Use JSON RPC for I/O","(Interno) Utilizzare JSON RPC per I/O","(Внутренний) Использовать JSON-RPC для ввода-вывода","(Internal) Usar JSON RPC para I/O","(内部) 使用 JSON RPC 进行 I/O 操作","(Wewnętrzne) Używaj JSON RPC do I/O","(Interne) Utiliser JSON RPC pour les E/S","(Interno) Usar JSON RPC para E/S","(Internal) Use JSON RPC for I/O","(Intern) JSON RPC für E/A verwenden"
"(Internal) Specify the system locale","(Internal) Specify the system locale","(Interno) Specificare le impostazioni locali del sistema","(Внутренний) Укажите используемый системой язык","(Internal) Specificar a localização do sistema","(内部) 指定系统区域设置","(Wewnętrzne) Określ ustawienia regionalne systemu","(Interne) Spécifier les paramètres régionaux du système","(Interno) Especificar la configuración regional del sistema","(Internal) Specify the system locale","(Intern) Systemgebietsschema angeben"
"Fetching a list of open requests failed:","Fetching a list of open requests failed:","Impossibile recuperare l’elenco delle richieste aperte:","Не удалось получить список открытых запросов:","Falha ao obter lista de solicitações em aberto:","获取已打开请求列表失败","Nie udało się pobrać listy otwartych żądań:","Échec de la récupération de la liste des requêtes ouvertes :","Error al obtener la lista de solicitudes abiertas:","Fetching a list of open requests failed:","Abrufen einer Liste offener Anfragen fehlgeschlagen:"
"{mr_reference} · created by {mr_author_name}","{mr_reference} · created by {mr_author_name}","{mr_reference} · creato da {mr_author_name}","{mr_reference} · создано {mr_author_name}","{mr_reference} · created by {mr_author_name}","{mr_reference} · 由 {mr_author_name} 创建","{mr_reference} · utworzone przez {mr_author_name}","{mr_reference} · créé par {mr_author_name}","{mr_reference} · creado por {mr_author_name}","{mr_reference} · created by {mr_author_name}","{mr_reference} · erstellt von {mr_author_name}"
"Disconnected","Disconnected","Disconnesso","Отключён","Desconectado","已断开连接","Rozłączono","Déconnecté","Desconectado","Disconnected","Getrennt"
"Connecting...","Connecting...","Connessione in corso…","Подключение…","Conectando…","正在连接...","Łączenie...","Connexion...","Conectando...","Connecting...","Verbinden..."
"Connected","Connected","Connesso","Подключен","Conectado","已连接","Połączono","Connecté","Conectado","Connected","Verbunden"
"Connection failed","Connection failed","Connessione fallita","Не удалось установить соединение","Conexão falhou","连接失败","Połączenie nieudane","Échec de la connexion","Conexión fallida","Connection failed","Verbindung fehlgeschlagen"
"No connections","No connections","Nessuna connessione","Нет соединений","Nenhuma Conexão","无连接","Brak połączeń","Aucune connexion","Sin conexiones","No connections","Keine Verbindungen"
"Parsing the key failed:","Parsing the key failed:","Analisi della chiave non riuscita:","Не удалось выполнить синтаксический анализ ключа:","Parsing da chave falhou:","解析键失败","Analiza klucza nie powiodła się:","L'analyse de la clé a échoué :","El análisis de la clave falló:","Parsing the key failed:","Parsen des Schlüssels fehlgeschlagen:"
"Connecting via key failed:","Connecting via key failed:","Connessione tramite chiave non riuscita:","Не удалось подключиться с помощью ключа:","Conexão via chave falhou:","通过键连接失败","Połączenie przez klucz nie powiodło się:","Échec de la connexion via la clé :","Falló la conexión mediante clave:","Connecting via key failed:","Verbindung über Schlüssel fehlgeschlagen:"
"Extracting embedded torrent file failed","Extracting embedded torrent file failed","Impossibile estrarre il file torrent incorporato","Не удалось извлечь вшитый торрент-файл","Falha ao extrair arquivo torrent","提取嵌入的种子文件失败","Wyodrębnianie osadzonego pliku torrent nie powiodło się","Échec de l'extraction du fichier torrent intégré","Falló la extracción del archivo torrent incrustado","Extracting embedded torrent file failed","Extrahieren der eingebetteten Torrent-Datei fehlgeschlagen"
"Checking for updates","Checking for updates","Verifica aggiornamenti in corso…","Не удалось проверить наличие обновлений","Buscando por atualizações","检查更新","Sprawdzanie aktualizacji","Vérification des mises à jour","Comprobando actualizaciones","Checking for updates","Nach Updates suchen"
"No suitable launcher update archive found.","No suitable launcher update archive found.","Non è stato trovato alcun archivio di aggiornamento del launcher adatto.","Не найден подходящий архив для обновления.","Nenhum arquivo de launcher adequado encontrado.","未找到合适的启动器更新存档","Nie znaleziono odpowiedniego archiwum aktualizacji launchera.","Aucune archive de mise à jour du lanceur appropriée trouvée.","No se encontró ningún archivo de actualización del lanzador adecuado.","No suitable launcher update archive found.","Kein geeignetes Launcher-Update-Archiv gefunden."
"Already using the latest launcher version.","Already using the latest launcher version.","Stai già usando l’ultima versione del launcher","Уже используется последняя версия лаунчера.","Já utilizando versão mais recente.","已使用最新启动器版本","Już używasz najnowszej wersji launchera.","Vous utilisez déjà la dernière version du lanceur.","Ya está utilizando la última versión del lanzador.","Already using the latest launcher version.","Bereits die neueste Version des Launchers wird verwendet."
"{fbPkg_zipTorrent} exists already","{fbPkg_zipTorrent} exists already","{fbPkg_zipTorrent} esiste già","{fbPkg_zipTorrent} уже существует","{fbPkg_zipTorrent} já existe","{fbPkg_zipTorrent} 已存在","{fbPkg_zipTorrent} już istnieje","{fbPkg_zipTorrent} existe déjà","{fbPkg_zipTorrent} ya existe","{fbPkg_zipTorrent} exists already","{fbPkg_zipTorrent} existiert bereits"
"{fbPkg_zipTorrent} download failed:","{fbPkg_zipTorrent} download failed:","{fbPkg_zipTorrent} download fallito:","Не удалось загрузить {fbPkg_zipTorrent}:","{fbPkg_zipTorrent} download falhou:","{fbPkg_zipTorrent} 下载失败","Pobieranie {fbPkg_zipTorrent} nie powiodło się:","Échec du téléchargement de {fbPkg_zipTorrent} :","Falló la descarga de {fbPkg_zipTorrent}:","{fbPkg_zipTorrent} download failed:","Download von {fbPkg_zipTorrent} fehlgeschlagen:"
"Update check failed:","Update check failed:","Controllo aggiornamenti non riuscito:","Не удалось проверить обновление:","Verificação de atualização falhou:","更新检查失败","Sprawdzanie aktualizacji nie powiodło się:","Échec de la vérification des mises à jour :","Falló la comprobación de actualizaciones:","Update check failed:","Update-Prüfung fehlgeschlagen:"
"Official Server #{i_plus_one}","Official Server #{i_plus_one}","Server Ufficiale #{i_plus_one}","Официальный сервер #{i_plus_one}","Servidor Oficial #{i_plus_one}","官方服务器 #{i_plus_one}","Oficjalny Serwer #{i_plus_one}","Serveur Officiel #{i_plus_one}","Servidor Oficial #{i_plus_one}","Official Server #{i_plus_one}","Offizieller Server #{i_plus_one}"
"Unknown #ERROR","Unknown #ERROR","Sconosciuto #ERRORE","Неизвестная #ОШИБКА","#ERRO Desconhecido","未知 #ERROR","Nieznany #BŁĄD","Inconnu #ERREUR","Desconocido #ERROR","Unknown #ERROR","Unbekannt #FEHLER"
"Unknown","Unknown","Sconosciuto","Неизвестно","Desconhecido","未知","Nieznany","Inconnu","Desconocido","Unknown","Unbekannt"
"ERROR","ERROR","ERRORE","ОШИБКА","ERRO","ERROR","BŁĄD","ERREUR","ERROR","ERROR","FEHLER"
"Anonymous #{hashtag} (You)","Anonymous #{hashtag} (You)","Anonimo #{hashtag} (Tu)","Аноним #{hashtag} (Вы)","Anônimo #{hashtag} (You)","匿名 #{hashtag} (您)","Anonimowy #{hashtag} (Ty)","Anonyme #{hashtag} (Vous)","Anónimo #{hashtag} (Tú)","Anonymous #{hashtag} (You)","Anonym #{hashtag} (Sie)"
"Anonymous #{hashtag}","Anonymous #{hashtag}","Anonimo #{hashtag}","Аноним #{hashtag}","Anônimo #{hashtag}","匿名 #{hashtag}","Anonimowy #{hashtag}","Anonyme #{hashtag}","Anónimo #{hashtag}","Anonymous #{hashtag}","Anonym #{hashtag}"
"Anonymous","Anonymous","Anonimo","Аноним","Anônimo","匿名","Anonimowy","Anonyme","Anónimo","Anonymous","Anonym"
"{championName} (Bot)","{championName} (Bot)","{championName} (Bot)","{championName} (Бот)","{championName} (Bot)","{championName}（机器人）","{championName} (Bot)","{championName} (Bot)","{championName} (Bot)","{championName} (Bot)","{championName} (Bot)"
"Checking file existance failed","Checking file existance failed","Impossibile controllare l'esistenza del file","Не удалось проверить существование файла","Falha ao checar existência de arquivo","检查文件是否存在失败","Sprawdzanie istnienia pliku nie powiodło się","Échec de la vérification de l'existence du fichier","Falló la comprobación de la existencia del archivo","Checking file existance failed","Überprüfung der Dateiexistenz fehlgeschlagen"
"File size mismatch","File size mismatch","Mancata corrispondenza delle dimensioni del file","Несоответствие размера файла","Tamanho de arquivo inesperado","文件大小不匹配","Niezgodność rozmiaru pliku","Taille de fichier incorrecte","Tamaño de archivo incorrecto","File size mismatch","Dateigröße stimmt nicht überein"
"Checking file size failed","Checking file size failed","Impossibile controllare le dimensioni del file","Не удалось проверить размер файла","Falha ao verificar tamnho de arquivo","检查文件大小失败","Sprawdzanie rozmiaru pliku nie powiodło się","Échec de la vérification de la taille du fichier","Falló la comprobación del tamaño del archivo","Checking file size failed","Überprüfung der Dateigröße fehlgeschlagen"
"Copying file failed","Copying file failed","Impossibile copiare il file","Не удалось скопировать файл","Falha ao copiar arquivo","复制文件失败","Kopiowanie pliku nie powiodło się","Échec de la copie du fichier","Falló la copia del archivo","Copying file failed","Kopieren der Datei fehlgeschlagen"
"Opening file failed","Opening file failed","Impossibile aprire il file","Не удалось открыть файл","Falha ao abrir arquivo","打开文件失败","Otwieranie pliku nie powiodło się","Échec de l'ouverture du fichier","Falló la apertura del archivo","Opening file failed","Öffnen der Datei fehlgeschlagen"
"Saving file failed","Saving file failed","Impossibile salvare il file","Не удалось сохранить файл","Falha ao salvar arquivo","保存文件失败","Zapisywanie pliku nie powiodło się","Échec de l'enregistrement du fichier","Falló el guardado del archivo","Saving file failed","Speichern der Datei fehlgeschlagen"
"Changing file mode failed","Changing file mode failed","Impossibile modificare i permessi del file","Не удалось измененить режим файла","Falha ao alterar mode de arquivo","更改文件权限失败","Zmiana trybu pliku nie powiodła się","Échec du changement de mode du fichier","Falló el cambio de modo del archivo","Changing file mode failed","Ändern des Dateimodus fehlgeschlagen"
"Moving file failed","Moving file failed","Impossibile spostare il file","Не удалось переместить файл","Falha ao mover arquivo","移动文件失败","Przenoszenie pliku nie powiodło się","Échec du déplacement du fichier","Falló el movimiento del archivo","Moving file failed","Verschieben der Datei fehlgeschlagen"
"Removing file failed","Removing file failed","Impossibile rimuovere il file","Не удалось удалить файл","Falha ao remover arquivo","删除文件失败","Usuwanie pliku nie powiodło się","Échec de la suppression du fichier","Falló la eliminación del archivo","Removing file failed","Entfernen der Datei fehlgeschlagen"
"Resizing file failed","Resizing file failed","Impossibile ridimensionare il file","Не удалось измененить размер файла","Falha ao redimensionar arquivo","调整文件大小失败","Zmiana rozmiaru pliku nie powiodła się","Échec du redimensionnement du fichier","Falló el redimensionamiento del archivo","Resizing file failed","Größenänderung der Datei fehlgeschlagen"
"File not found","File not found","File non trovato","Файл не найден","Arquivo não encontrado","未找到文件","Nie znaleziono pliku","Fichier introuvable","Archivo no encontrado","File not found","Datei nicht gefunden"
"Reading directory failed","Reading directory failed","Impossibile leggere la directory:","Не удалось прочитать каталог","Falha ao ler diretório","读取目录失败","Odczytywanie katalogu nie powiodło się","Échec de la lecture du répertoire","Falló la lectura del directorio","Reading directory failed","Lesen des Verzeichnisses fehlgeschlagen"
"Reading file stats failed","Reading file stats failed","Impossibile leggere le informazioni del file:","Не удалось прочитать статистику файла","Falha ao ler arquivo de stats","读取文件属性失败","Odczytywanie statystyk pliku nie powiodło się","Échec de la lecture des statistiques du fichier","Falló la lectura de las estadísticas del archivo","Reading file stats failed","Lesen der Dateistatistiken fehlgeschlagen"
"Blind Pick","Blind Pick","Selezione alla cieca","Выбор вслепую","Escolha às cegas","盲选","Losowy wybór","Sélection aveugle","Selección a ciegas","Blind Pick","Blindauswahl"
"Team","Team","Squadra","Команда","Equipe","队伍","Drużyna","Équipe","Equipo","Team","Team"
"Blue","Blue","Blu","Синий","Azul","蓝方","Niebieski","Bleu","Azul","Blue","Blau"
"Purple","Purple","Viola","Фиолетовый","Roxo","紫方","Fioletowy","Violet","Morado","Purple","Lila"
"Neutral","Neutral","Neutrale","Нейтральный","Neutro","中立","Neutralny","Neutre","Neutral","Neutral","Neutral"
"Lock","Lock","Blocca","Блокировка","Bloquear","锁定","Zablokuj","Verrouiller","Bloquear","Lock","Sperren"
"Unlocked","Unlocked","Scbloccato","Разблокирован","Desbloqueado","已解锁","Odblokowany","Déverrouillé","Desbloqueado","Unlocked","Entsperrt"
"Locked","Locked","Bloccato","Заблокирован","Bloqueado","已锁定","Zablokowany","Verrouillé","Bloqueado","Locked","Gesperrt"
"Player Count","Player Count","Numero giocatori","Количество игроков","Número de Jogadores","玩家数量","Liczba graczy","Nombre de joueurs","Número de jugadores","Player Count","Spieleranzahl"
"Tick Rate","Tick Rate","Frequenza tick","Частота обновлений","Tickrate","更新频率","Częstotliwość ticków","Fréquence de tick","Tasa de ticks","Tick Rate","Tick-Rate"
"Password","Password","Password","Пароль","Senha","密码","Hasło","Mot de passe","Contraseña","Password","Passwort"
"undefined","undefined","non definita","не указан","Indefinido","未定义","niezdefiniowane","indéfini","indefinido","undefined","undefiniert"
"Name","Name","Nome","Имя","Nome","名称","Nazwa","Nom","Nombre","Name","Name"
"Rank","Rank","Classifica","Ранг","Ranque","段位","Ranga","Rang","Rango","Rank","Rang"
"BRONZE","BRONZE","BRONZO","Бронзовый","BRONZE","青铜","BRĄZ","BRONZE","BRONCE","BRONZE","BRONZE"
"GOLD","GOLD","ORO","Золотой","OURO","黄金","ZŁOTO","OR","ORO","GOLD","GOLD"
"PLATINUM","PLATINUM","PLATINO","Платиновый","PLATINA","铂金","PLATYNA","PLATINE","PLATINO","PLATINUM","PLATIN"
"SILVER","SILVER","ARGENTO","Серебряный","PRATA","白银","SREBRO","ARGENT","PLATA","SILVER","SILBER"
"UNRANKED","UNRANKED","NON CLASSIFICATO","Безранговый","Não Rankeado","无段位","BEZ RANGI","NON CLASSÉ","SIN RANGO","UNRANKED","OHNE RANG"
"Features Enabled","Features Enabled","Funzionalità abilitate","Включённые опции","Habilitar configurações extras","已启用功能","Włączone funkcje","Fonctionnalités activées","Funciones habilitadas","Features Enabled","Funktionen aktiviert"
"Enable Cheats","Enable Cheats","Abilita trucchi","Включить читы","Habilitar Cheats","启用作弊","Włącz cheaty","Activer les triches","Activar trucos","Enable Cheats","Cheats aktivieren"
"Disable Manacosts","Disable Manacosts","Disabilita costi mana","Отключить Стоимости","Desabilitar custos de mana (quando aplicável)","禁用法力消耗","Wyłącz koszty many","Désactiver les coûts de mana","Desactivar costes de maná","Disable Manacosts","Manakosten deaktivieren"
